time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-07-19 12:30:38.600 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42, ,12, , , , , , , , , ,42,8, , , ,27,6,17, , , , , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24978009912,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,19,19,16,19, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,400230944, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:31:38.603 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42, ,12, , , , , , , , , ,42,8, , , ,27,6,17, , , , , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24977927992,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,14,14,8,14, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,401380600,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:32:38.606 UTC, , , , , , , , , ,1029,3359709,212280,672, ,42, ,12, , , , , , , , , ,42,8, , , ,27,6,17, , , , , , , , , , , ,1, , , ,3359709,242971,4, ,242666, , , , ,296047,24959287096,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296047,1658233538518,,, , , , , , , , , ,3145728,296017,18,18,15,18, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,401955376, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:36:16.817 UTC, , , , , , , , , ,125,3266173,120320, , ,33,12,1144,33,0.03,31, , , , , ,9,33,8, ,547,3,12,31,8, ,604,18, , , , , , , , ,1, , , ,3266173,315134,5,296118,296118,1,23,8,15,315189,24958218040,26,26,26,26, , , , , ,37,3314, , , , , , , , , , , , , , , , , , , , , , , , , ,315189,1658234175329,,, , , , , , , , , ,3145728,315134,13,13,7,13, , ,63,1,1,4,1, ,3,2, ,63, ,2048,1, , , ,6, ,1178895,202,19142,1, , , , ,3,1016,11,545,256653416,4, , , , , , ,601, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:36:17.258 UTC, , , , , , , , , ,125,3266173,120320, , ,33, ,10, , , , , , , , ,9,33,8, , , ,12,30,8, ,4,2, , , , , , , , ,1, , , ,3266173,315134,5,296118,296118, , , , ,315189,24958218040,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,315189,1658234175329,,, , , , , , , , , ,3145728,315134, , , , , , ,2, , ,1, , ,3, , ,2,1, , , , , , , ,2176,3, , , , , , , , , , ,273670000,4, , , , , , ,25, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2022-07-19 12:36:17.674 UTC, , , , , , , , , ,125,3165157,19304, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,32,20, , , , , , , , ,1, , , ,3165157,315602,6, ,315259, , , , ,315654,24958205752,26,26,26,26, , , , , ,39,3364, , , , , , , , , , , , , , , , , , , , , , , , , ,315654,1658234177400,,, , , , , , , , , ,3145728,315602, , , , , , ,28, , ,2, , ,3, , ,28, ,2048,1, , , , , ,724492,115, , , , , , ,3,1016,11,545,287199288,4, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-07-19 12:37:17.683 UTC, , , , , , , , , ,1029,3352477,205048,672, ,42,27,1074,39,0.04, , , , , , , ,42,8, , ,27,30,6,18, ,1105,280, , , , , , , , ,1, , , ,3352477,315602,6, ,315259, , , , ,333875,24958148408,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,333875,1658234177400,,, , , , , , , , , ,3145728,333845,11,11,3,11, , ,351,7,7,3,7, ,3,10, ,351,1, , , , , ,7, ,190178,361,18221,7, , , , ,1,225,3,132,194013872,2, , , , , , ,2702, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115, ,119, ,9034,557,10,1, , , , , , , , , 
2022-07-19 12:38:17.695 UTC, , , , , , , , , ,1029,3352477,205048,672, ,42, ,12, , , , , , , , , ,42,8, , , ,30,6,18, , , , , , , , , , , ,1, , , ,3352477,315602,6, ,315259, , , , ,333875,24953941816,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,333875,1658234177400,,, , , , , , , , , ,3145728,333845,20,20,7,20, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,195514712,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:39:17.698 UTC, , , , , , , , , ,1029,3352477,205048,672, ,42, ,12, , , , , , , , , ,42,8, , , ,30,6,18, , , , , , , , , , , ,1, , , ,3352477,315602,6, ,315259, , , , ,333875,24953618232,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,333875,1658234177400,,, , , , , , , , , ,3145728,333845,14,14,12,14, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196844640,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2022-07-19 12:41:34.938 UTC, , , , , , , , , ,125,3213813,67960, , ,27,17,513,26,0.05,49, , , , , ,16,27,7, ,237,1,14,25,7, ,284,20, , , , , , , , ,1, , , ,3213813,351170,7,336851,336851,1,20,6,12,351225,24952438584,23,23,23,23, , , , , ,42,3602, , , , , , , , , , , , , , , , , , , , , , , , , ,351225,1658234493956,,, , , , , , , , , ,3145728,351170,2,2,1,2, , ,56,1,1,4,1, ,3,2, ,56, ,2048,1, , , , , ,957964,166,17350,2, , , , ,3,739,9,558,244343384,4, , , , , , ,276, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
